pdf_name,title,author,author_place,journal,volume,year,pages
"(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",Kleine Mitteilungen,Guido Kryszat,Mainz,Archiv für Orientforschung,51,2005/2006,247–249
"(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",The Assyrian Colony at Kanesh,Jan Gerrit Dercksen,Leiden,,,2008,
"(OCR) JCS 59, 2007, pp. 93-106 - Larsen, Mogens T. - Individual and Family in Old Assyrian Society.pdf",Individual and Family in Old Assyrian Society,Mogens Trolle Larsen,Copenhagen,JCS,59,2007,93–95
27_arastirma_3-libre.pdf,Ege-Akdeniz Bölgesi Sualtı Araştırması 2008 Yılı Çalışmaları,"Dr. Haydar Dönmez, Candaş Keskin, Necdet Çeliktaş",Ankara,Araştırma Sonuçları Toplantısı,3,2009,1–397
28_arastirma_3-libre.pdf,Kültür Varlıkları ve Müzeler Genel Müdürlüğü Araştırma Sonuçları Toplantısı,"A. Naci TOY, Candaş KESKİN, Mustafa ÜÇGÜL, Fethi Ahmet YÜKSEL, Emine DÖNMEZ, Ayşe Ç. TÜRKER, Tayfun YILDIRIM, Tunç SİPAHİ, Christopher H. ROOSEVELT, Lutgarde VANDEPUT, Veli KÖSE, Mark JACKSON, S. MAZZONI, A. D’AGOSTINO, V. ORSI, Asnu BİLBAN YALÇIN, Suat ATEŞLİER, H. VANHAVERBEKE, M. WAELKENS, I. JACOBS, M. LEFERE, E. KAPTIJN, J. POBLOME, Maria ANDALORO, A. Osman UYSAL, Adnan DİLER, B.ÖZER, Ş. GÜMÜŞ, H.Ö. ÖZCAN, M.ELMAS, A.NOVALİÇ, Peter RUGGENDORFER, Martin BACHMANN, Felix PİRSON, Jean-Claude CHEYNET, K. STROBEL, Chr. GERBER, Elif ÖZER, Murat TAŞKIRAN, Nilay ÇORAĞAN KARAKAYA, Thomas Drew-BEAR, Winfried HELD, Gonca CANKARDAŞ ŞENOL, Ahmet Kaan ŞENOL, Ayşe AYDIN, Veli KÖSE, Hatice PAMİR, Ferit BAZ, Fikri KULAKOĞLU, Kutlu EMRE, Ryoichi KONTANI, Sabahattin EZER",İstanbul,Araştırma Sonuçları,3,2010,1–397
"AAA 1-2, 1908-9.pdf",ANNALS OF ARCHAEOLOGY AND ANTHROPOLOGY,J. L. Myres,Liverpool,Annals of Archaeology and Anthropology,I,1908,1–131
AAS 11 1-43 Omura-C.AnatSurv2001 (2002).pdf,Anatolian Archaeological Studies Vol. XI,Sachihiro Omura,,JAPANESE INSTITUTE OF ANATOLTAN ARCHAEOLOGY,11,2002,
AAS 11 45-111 Omura-KamanK2001 (2002).pdf,An Overview of Kiiman-Kalehoyiik in 2001,Sachihiro Omura,,Anatolian Archaeological Studies,XI,2002,
"ABoT, 1948.pdf",Boğazköy Tafeln im Archäologischen Museum zu Ankara,Kemal Balkan,İstanbul,Eski Eserler ve Müzeler,III,1948,3
"AC, 1963.pdf",LES ASSYRIENS EN CAPPADOCE,PAUL GARELLI,PARIS,BIBLIOTHEQUE ARCHEOLOGIQUE ET HISTORIQUE D'ISTANBUL,XIX,1963,"71 pp. et 20 planches in-8"""
